Name,Korean Name,Address,Rating (out of 5),Notes / Review Count,Source Platform,Cuisine,Neighborhood,Google Maps Link
Jukto,적토발효구이 용산점,"12 Hangang-daero 14-gil, Yongsan-gu, Seoul",5.0,TripAdvisor rating,TripAdvisor,Korean BBQ (fermented pork belly),Itaewon / Yongsan,https://www.google.com/maps/search/?api=1&query=Jukto%2012%20Hangang-daero%2014-gil%2C%20Yongsan-gu%2C%20Seoul
Mr. Ahn's Craft Makgeolli (Anssi Makgeolli),안씨막걸리,"3 Hoenamu-ro, Yongsan-gu, Seoul 04343",4.7,19 reviews,TripAdvisor,Korean bar / makgeolli,Itaewon,https://www.google.com/maps/search/?api=1&query=Mr.%20Ahn%27s%20Craft%20Makgeolli%20%28Anssi%20Makgeolli%29%203%20Hoenamu-ro%2C%20Yongsan-gu%2C%20Seoul%2004343
Krappom,크랍폼,"18 Seolleung-ro 153-gil, Gangnam-gu, Seoul 06019",4.8,Only 5 reviews - small sample,TripAdvisor,Thai street food,Apgujeong / near Sinsa,https://www.google.com/maps/search/?api=1&query=Krappom%2018%20Seolleung-ro%20153-gil%2C%20Gangnam-gu%2C%20Seoul%2006019
Ryunique,류니끄,"8-1 Dosan-daero 45-gil, 1F-2F, Gangnam-gu, Seoul",4.6,141 reviews on TripAdvisor; 4.5 on Google Maps (185 reviews),TripAdvisor / Google Maps,Fusion fine dining (2 Michelin stars),Sinsa / Apgujeong,https://www.google.com/maps/search/?api=1&query=Ryunique%208-1%20Dosan-daero%2045-gil%2C%201F-2F%2C%20Gangnam-gu%2C%20Seoul
Yang Good,양구디,"15 Nonhyeon-ro 95-gil, Gangnam-gu, Seoul",4.7,"1,663 reviews",Google Maps,Korean BBQ (lamb skewers),Gangnam,https://www.google.com/maps/search/?api=1&query=Yang%20Good%2015%20Nonhyeon-ro%2095-gil%2C%20Gangnam-gu%2C%20Seoul
Osteria Ora,오스테리아 오라,"Mapo-gu (Seogyo-dong/Mangwon area), Seoul - exact street number unconfirmed",4.5,141 reviews,Google Maps,Italian,Mapo (Seogyo-dong),https://www.google.com/maps/search/?api=1&query=Osteria%20Ora%20Mapo-gu%20%28Seogyo-dong/Mangwon%20area%29%2C%20Seoul%20-%20exact%20street%20number%20unconfirmed
Thanks Nature Cafe,땡스네이처카페,"10 Hongik-ro, Mapo-gu, Seoul",4.5,987 reviews,Google Maps,Cafe,Hongdae,https://www.google.com/maps/search/?api=1&query=Thanks%20Nature%20Cafe%2010%20Hongik-ro%2C%20Mapo-gu%2C%20Seoul
Coffee Nap Roasters (Yeonnam),커피냅로스터스 연남,"70 Seongmisan-ro 27-gil, Mapo-gu, Seoul",4.5,242 reviews,Google Maps,Specialty coffee cafe,Yeonnam-dong,https://www.google.com/maps/search/?api=1&query=Coffee%20Nap%20Roasters%20%28Yeonnam%29%2070%20Seongmisan-ro%2027-gil%2C%20Mapo-gu%2C%20Seoul
Cesta,세스타,"68-4 Hannam-dong, Yongsan-gu, Seoul",4.6,63 reviews,Google Maps,Wine bar / Western,Itaewon / Hannam-dong,https://www.google.com/maps/search/?api=1&query=Cesta%2068-4%20Hannam-dong%2C%20Yongsan-gu%2C%20Seoul
Insadong Boribap Main Store,,"20-3 Insadong 12-gil, Jongno-gu, Seoul",4.5,Cited by blog (Google rating),Google Maps (secondary source),Korean traditional (barley rice),Jongno-gu / Insadong,https://www.google.com/maps/search/?api=1&query=Insadong%20Boribap%20Main%20Store%2020-3%20Insadong%2012-gil%2C%20Jongno-gu%2C%20Seoul
Doma Yuzu Ramen,,"24 Bukchon-ro 2-gil, Jongno-gu, Seoul",4.7,Cited by blog (Google rating),Google Maps (secondary source),Fusion ramen,Jongno-gu / Bukchon,https://www.google.com/maps/search/?api=1&query=Doma%20Yuzu%20Ramen%2024%20Bukchon-ro%202-gil%2C%20Jongno-gu%2C%20Seoul
Jogeum,,"60 Yulgok-ro, Jongno-gu, Seoul",4.6,Cited by blog (Google rating),Google Maps (secondary source),Japanese-style hot stone pot rice,Jongno-gu (Anguk),https://www.google.com/maps/search/?api=1&query=Jogeum%2060%20Yulgok-ro%2C%20Jongno-gu%2C%20Seoul
Eunseol Seolleongtang,,"9-4 Bukchon-ro 2-gil, Jongno-gu, Seoul",4.5,Cited by blog (Google rating),Google Maps (secondary source),Korean traditional (beef bone soup),Jongno-gu / Bukchon,https://www.google.com/maps/search/?api=1&query=Eunseol%20Seolleongtang%209-4%20Bukchon-ro%202-gil%2C%20Jongno-gu%2C%20Seoul
Orenoman Ramen (Insadong branch),오레노라멘 인사점,"49-4 Yulgok-ro 5-gil, Jongno-gu, Seoul",4.8,Cited by blog (Google rating),Google Maps (secondary source),Japanese ramen,Jongno-gu / Insadong,https://www.google.com/maps/search/?api=1&query=Orenoman%20Ramen%20%28Insadong%20branch%29%2049-4%20Yulgok-ro%205-gil%2C%20Jongno-gu%2C%20Seoul
Taekdaerine Insadong Garlic Bossam,택대리네 인사동마늘보쌈,"12-5 Insadong 8-gil, Jongno-gu, Seoul",4.6,Cited by blog (Google rating),Google Maps (secondary source),Korean (bossam),Jongno-gu / Insadong,https://www.google.com/maps/search/?api=1&query=Taekdaerine%20Insadong%20Garlic%20Bossam%2012-5%20Insadong%208-gil%2C%20Jongno-gu%2C%20Seoul
Jongno Dodam,종로도담,"78 Sambong-ro, Jongno-gu, Seoul",4.5,Cited by blog (Google rating),Google Maps (secondary source),Korean traditional,Jongno-gu,https://www.google.com/maps/search/?api=1&query=Jongno%20Dodam%2078%20Sambong-ro%2C%20Jongno-gu%2C%20Seoul
Ilwol Katsu,일월카츠,"11 Bukchon-ro 1-gil, Jongno-gu, Seoul",4.7,Cited by blog (Google rating),Google Maps (secondary source),Japanese (katsu),Jongno-gu / Bukchon,https://www.google.com/maps/search/?api=1&query=Ilwol%20Katsu%2011%20Bukchon-ro%201-gil%2C%20Jongno-gu%2C%20Seoul
A Flower Blossom on the Rice,"꽃,밥에피다","16 Insadong 16-gil, Jongno-gu, Seoul",4.8,Cited by blog (Google rating); Michelin Bib Gourmand & Green Star,Google Maps (secondary source),Modern Korean,Jongno-gu / Insadong,https://www.google.com/maps/search/?api=1&query=A%20Flower%20Blossom%20on%20the%20Rice%2016%20Insadong%2016-gil%2C%20Jongno-gu%2C%20Seoul
Restaurant Jueun,,"Gyeonghuigung-gil, Jongno-gu, Seoul",4.8,Google rating cited; exact street number unconfirmed,Google Maps,Korean fine dining,Jongno-gu,https://www.google.com/maps/search/?api=1&query=Restaurant%20Jueun%20Gyeonghuigung-gil%2C%20Jongno-gu%2C%20Seoul
Daol Charcoal Grill,,"54-2 Myeongdong 2-ga, 1F-2F, Jung-gu, Seoul",4.9,591 reviews,TripAdvisor,Korean BBQ,Myeongdong / Jung-gu,https://www.google.com/maps/search/?api=1&query=Daol%20Charcoal%20Grill%2054-2%20Myeongdong%202-ga%2C%201F-2F%2C%20Jung-gu%2C%20Seoul
Ziu BBQ,,"20 Toegye-ro 18-gil, Jung-gu, Seoul",4.9,TripAdvisor rating,TripAdvisor,Korean BBQ,Myeongdong / Jung-gu,https://www.google.com/maps/search/?api=1&query=Ziu%20BBQ%2020%20Toegye-ro%2018-gil%2C%20Jung-gu%2C%20Seoul
Namsandodam,남산도담,"37-1 Supyo-ro 6-gil, Jung-gu, Seoul",5.0,23 reviews - small sample,TripAdvisor,"Korean traditional (bossam, kimchi steam)",Myeongdong / Jung-gu,https://www.google.com/maps/search/?api=1&query=Namsandodam%2037-1%20Supyo-ro%206-gil%2C%20Jung-gu%2C%20Seoul
Hangaram,,"25 Namdaemun-ro 5-gil, Jung-gu, Seoul",4.6,46 reviews,TripAdvisor,Korean,Myeongdong / Jung-gu,https://www.google.com/maps/search/?api=1&query=Hangaram%2025%20Namdaemun-ro%205-gil%2C%20Jung-gu%2C%20Seoul
Seongsu Jokbal,성수족발,"7 Achasan-ro 7-gil, Seongdong-gu, Seoul",4.8,Cited by blog (Google rating),Google Maps (secondary source),Korean (jokbal / pig's trotters),Seongsu-dong,https://www.google.com/maps/search/?api=1&query=Seongsu%20Jokbal%207%20Achasan-ro%207-gil%2C%20Seongdong-gu%2C%20Seoul
Grandmother's Recipe,할머니의 레시피,"44-12 Seoulsup 2-gil, Seongdong-gu, Seoul",4.6,Cited by blog (Google rating),Google Maps (secondary source),Korean home-style,Seongsu-dong,https://www.google.com/maps/search/?api=1&query=Grandmother%27s%20Recipe%2044-12%20Seoulsup%202-gil%2C%20Seongdong-gu%2C%20Seoul
Seongsu Budu,성수부두,"B1, 41-26 Yeonmujang-gil, Seongdong-gu, Seoul",4.6,Cited by blog (Google rating),Google Maps (secondary source),Korean / seafood,Seongsu-dong,https://www.google.com/maps/search/?api=1&query=Seongsu%20Budu%20B1%2C%2041-26%20Yeonmujang-gil%2C%20Seongdong-gu%2C%20Seoul
Horangi Siktak,호랑이식탁,"1F, 32-10 Seongsu-iro, Seongdong-gu, Seoul",4.5,Cited by blog (Google rating),Google Maps (secondary source),Korean,Seongsu-dong,https://www.google.com/maps/search/?api=1&query=Horangi%20Siktak%201F%2C%2032-10%20Seongsu-iro%2C%20Seongdong-gu%2C%20Seoul
Le Freak,르프리크,"B1, Bluestone Tower, 9-16 Yeonmujang 5-gil, Seongdong-gu, Seoul",4.7,Cited by blog (Google rating),Google Maps (secondary source),Casual fusion / Western,Seongsu-dong,https://www.google.com/maps/search/?api=1&query=Le%20Freak%20B1%2C%20Bluestone%20Tower%2C%209-16%20Yeonmujang%205-gil%2C%20Seongdong-gu%2C%20Seoul
Atrio,,"23-1 Yeouido-dong, 2F Conrad Seoul, Yeongdeungpo-gu, Seoul",4.8,382 reviews,TripAdvisor,Italian,Yeouido,https://www.google.com/maps/search/?api=1&query=Atrio%2023-1%20Yeouido-dong%2C%202F%20Conrad%20Seoul%2C%20Yeongdeungpo-gu%2C%20Seoul
SUT - The Butcher's Edge,,"23-1 Yeouido-dong, 37F Conrad Seoul, Yeongdeungpo-gu, Seoul",4.7,338 reviews,TripAdvisor,Steakhouse,Yeouido,https://www.google.com/maps/search/?api=1&query=SUT%20-%20The%20Butcher%27s%20Edge%2023-1%20Yeouido-dong%2C%2037F%20Conrad%20Seoul%2C%20Yeongdeungpo-gu%2C%20Seoul
10G,,"10 Gukjegeumyung-ro, Lobby Fl., Conrad Seoul, Yeongdeungpo-gu, Seoul",4.8,49 reviews,TripAdvisor,Cafe / coffee & bakery,Yeouido,https://www.google.com/maps/search/?api=1&query=10G%2010%20Gukjegeumyung-ro%2C%20Lobby%20Fl.%2C%20Conrad%20Seoul%2C%20Yeongdeungpo-gu%2C%20Seoul
Jungsik,정식당,"11 Seolleung-ro 158-gil, Gangnam-gu, Seoul",4.5,506 reviews,TripAdvisor,Modern Korean fine dining (2 Michelin stars),Cheongdam / Apgujeong,https://www.google.com/maps/search/?api=1&query=Jungsik%2011%20Seolleung-ro%20158-gil%2C%20Gangnam-gu%2C%20Seoul
Wooga,,"652 Gangnam-daero, Gangnam-gu, Seoul",4.6,Only 11 reviews - small sample; Michelin-recommended,TripAdvisor,Korean steakhouse,Apgujeong / Cheongdam,https://www.google.com/maps/search/?api=1&query=Wooga%20652%20Gangnam-daero%2C%20Gangnam-gu%2C%20Seoul
Toc Toc,톡톡,"33 Dosan-daero 51-gil, 3F, Gangnam-gu, Seoul",4.5,21 reviews; Michelin-listed,TripAdvisor,European-Korean fusion,Apgujeong / Cheongdam,https://www.google.com/maps/search/?api=1&query=Toc%20Toc%2033%20Dosan-daero%2051-gil%2C%203F%2C%20Gangnam-gu%2C%20Seoul
New Delhi,,"28 Nonhyeon-ro 176-gil, Gangnam-gu (Sinsa-dong), Seoul",4.9,168 reviews,TripAdvisor,Indian,Apgujeong / Cheongdam,https://www.google.com/maps/search/?api=1&query=New%20Delhi%2028%20Nonhyeon-ro%20176-gil%2C%20Gangnam-gu%20%28Sinsa-dong%29%2C%20Seoul
Sushi Seonsu,,"6 Dosan-daero 45-gil, Horim Art Center Bldg., Gangnam-gu, Seoul",4.9,TripAdvisor rating,TripAdvisor,Japanese / sushi omakase,Sinsa / Apgujeong,https://www.google.com/maps/search/?api=1&query=Sushi%20Seonsu%206%20Dosan-daero%2045-gil%2C%20Horim%20Art%20Center%20Bldg.%2C%20Gangnam-gu%2C%20Seoul
OPNNG,,"22 Dosan-daero 34-gil, B1, Gangnam-gu, Seoul",4.5,Michelin-listed,TripAdvisor,International fine dining / bar,Apgujeong / Sinsa,https://www.google.com/maps/search/?api=1&query=OPNNG%2022%20Dosan-daero%2034-gil%2C%20B1%2C%20Gangnam-gu%2C%20Seoul
