Name,Korean Name,Address,Rating (out of 5),Notes / Review Count,Source Platform,Category,Neighborhood,Google Maps Link
Bukhansan National Park,북한산국립공원,"Ui-dong area, Gangbuk-gu, Seoul (park spans several districts)",4.7,"1,134 reviews",TripAdvisor,Nature / mountain / historic fortress,Gangbuk-gu (and others),https://www.google.com/maps/search/?api=1&query=Bukhansan%20National%20Park%20Ui-dong%20area%2C%20Gangbuk-gu%2C%20Seoul%20%28park%20spans%20several%20districts%29
Seoul Botanic Park,서울식물원,"161 Magokdong-ro, Gangseo-gu, Seoul",4.5,Only 38 reviews - small sample,TripAdvisor,Garden,Gangseo-gu (Magok-dong),https://www.google.com/maps/search/?api=1&query=Seoul%20Botanic%20Park%20161%20Magokdong-ro%2C%20Gangseo-gu%2C%20Seoul
63 Sky Picnic (63 Building Observatory),63스카이픽닉,"60F, 63 Hanwha Life Bldg, 50 63-ro, Yeongdeungpo-gu, Seoul",5.0,Only 23 reviews - very small sample,TripAdvisor,Observatory / viewpoint,Yeongdeungpo-gu (Yeouido),https://www.google.com/maps/search/?api=1&query=63%20Sky%20Picnic%20%2863%20Building%20Observatory%29%2060F%2C%2063%20Hanwha%20Life%20Bldg%2C%2050%2063-ro%2C%20Yeongdeungpo-gu%2C%20Seoul
Haneul Park (Sky Park),하늘공원,"World Cup Park area, Sangam-dong, Mapo-gu, Seoul",4.5,309 reviews; exact address not independently re-confirmed,TripAdvisor,Park / viewpoint,Mapo-gu,https://www.google.com/maps/search/?api=1&query=Haneul%20Park%20%28Sky%20Park%29%20World%20Cup%20Park%20area%2C%20Sangam-dong%2C%20Mapo-gu%2C%20Seoul
Seoul Forest,서울숲,"273 Ttukseom-ro, Seongdong-gu, Seoul",4.5,410 reviews,TripAdvisor,Park,Seongdong-gu (Seongsu/Ttukseom),https://www.google.com/maps/search/?api=1&query=Seoul%20Forest%20273%20Ttukseom-ro%2C%20Seongdong-gu%2C%20Seoul
Yeouido Hangang Park,여의도한강공원,"Yeouido-dong, Yeongdeungpo-gu, Seoul",4.5,705 reviews; exact address not independently re-confirmed,TripAdvisor,Riverside park,Yeongdeungpo-gu,https://www.google.com/maps/search/?api=1&query=Yeouido%20Hangang%20Park%20Yeouido-dong%2C%20Yeongdeungpo-gu%2C%20Seoul
Dream Forest,북서울꿈의숲,"173 Wolgye-ro, Gangbuk-gu, Seoul",4.6,Only 37 reviews - small sample,TripAdvisor,Park / viewpoint (observatory),Gangbuk-gu,https://www.google.com/maps/search/?api=1&query=Dream%20Forest%20173%20Wolgye-ro%2C%20Gangbuk-gu%2C%20Seoul
Dobongsan Mountain,도봉산,"Dobong-gu, Seoul (mountain - no single street address)",4.7,Only 27 reviews - small sample,TripAdvisor,Viewpoint / mountain,Dobong-gu,https://www.google.com/maps/search/?api=1&query=Dobongsan%20Mountain%20Dobong-gu%2C%20Seoul%20%28mountain%20-%20no%20single%20street%20address%29
Gwanaksan Mountain,관악산,"Gwanak-gu, Seoul (mountain - no single street address)",4.7,Only 36 reviews - small sample,TripAdvisor,Viewpoint / mountain,Gwanak-gu,https://www.google.com/maps/search/?api=1&query=Gwanaksan%20Mountain%20Gwanak-gu%2C%20Seoul%20%28mountain%20-%20no%20single%20street%20address%29
Olympic Park (World Peace Gate),올림픽공원,"51 Wiryeseong-daero, Songpa-gu, Seoul",4.5,"4,233 reviews",Google Maps (via Wanderlog),Park / green space,Songpa-gu (Jamsil area),https://www.google.com/maps/search/?api=1&query=Olympic%20Park%20%28World%20Peace%20Gate%29%2051%20Wiryeseong-daero%2C%20Songpa-gu%2C%20Seoul
Banpo Hangang Park,반포한강공원,"40 Sinbanpo-ro 11-gil, Seocho-gu, Seoul",4.8,182 reviews; source platform for this exact score unclear (Trip.com aggregate),Trip.com,Park / green space (Han River),Seocho-gu (Banpo),https://www.google.com/maps/search/?api=1&query=Banpo%20Hangang%20Park%2040%20Sinbanpo-ro%2011-gil%2C%20Seocho-gu%2C%20Seoul
1Million Dance Studio,원밀리언 댄스 스튜디오,"33 Ttukseom-ro 13-gil, Seongdong-gu, Seoul",4.8,"1,518 reviews",Google Maps (via Wanderlog),Experience - K-pop dance class,Seongsu-dong,https://www.google.com/maps/search/?api=1&query=1Million%20Dance%20Studio%2033%20Ttukseom-ro%2013-gil%2C%20Seongdong-gu%2C%20Seoul
O'ngo Food Communications,온고푸드커뮤니케이션즈,"137-11 Bukchon-ro, Jongno-gu, Seoul",4.9,"1,183 reviews; address from secondary listing, not shown on TripAdvisor page itself",TripAdvisor,Experience - Korean cooking class,Jongno-gu (Bukchon),https://www.google.com/maps/search/?api=1&query=O%27ngo%20Food%20Communications%20137-11%20Bukchon-ro%2C%20Jongno-gu%2C%20Seoul
Doryeongassi Hanbok Rental (near Gyeongbokgung),도령앗씨한복,"3 Jahamun-ro 2-gil, Tongui-dong, Jongno-gu, Seoul",4.7,132 reviews,Google Maps (via Wanderlog),Experience - hanbok rental,Jongno-gu (near Gyeongbokgung),https://www.google.com/maps/search/?api=1&query=Doryeongassi%20Hanbok%20Rental%20%28near%20Gyeongbokgung%29%203%20Jahamun-ro%202-gil%2C%20Tongui-dong%2C%20Jongno-gu%2C%20Seoul
3355 Hanbok Rental (Bukchon store),3355한복대여 (북촌점),"21 Bukchon-ro, B1, Jongno-gu, Seoul",4.8,Only 57 reviews - small sample,TripAdvisor,Experience - hanbok rental,Jongno-gu (Bukchon),https://www.google.com/maps/search/?api=1&query=3355%20Hanbok%20Rental%20%28Bukchon%20store%29%2021%20Bukchon-ro%2C%20B1%2C%20Jongno-gu%2C%20Seoul
Teafference Seoul,티퍼런스,"61 Donhwamun-ro, Jongno-gu, Seoul",4.5,Only 88 reviews - small sample,Google Maps (via Wanderlog),Experience - traditional tea experience,Jongno-gu (Ikseon-dong),https://www.google.com/maps/search/?api=1&query=Teafference%20Seoul%2061%20Donhwamun-ro%2C%20Jongno-gu%2C%20Seoul
MMCA Seoul (National Museum of Modern & Contemporary Art),국립현대미술관 서울관,"30 Samcheong-ro, Jongno-gu, Seoul",4.6,"4,222 reviews",Google Maps (via Wanderlog),Modern art museum,Jongno-gu (Samcheong-dong),https://www.google.com/maps/search/?api=1&query=MMCA%20Seoul%20%28National%20Museum%20of%20Modern%20%26%20Contemporary%20Art%29%2030%20Samcheong-ro%2C%20Jongno-gu%2C%20Seoul
COEX (incl. Starfield COEX Mall),코엑스,"513 Yeongdong-daero, Gangnam-gu, Seoul",4.5,"8,703 reviews",Google Maps (via Wanderlog),Shopping / entertainment complex,Gangnam-gu (Samseong-dong),https://www.google.com/maps/search/?api=1&query=COEX%20%28incl.%20Starfield%20COEX%20Mall%29%20513%20Yeongdong-daero%2C%20Gangnam-gu%2C%20Seoul
Myeongdong NANTA Theatre,명동난타극장,"UNESCO House, 26 Myeongdong-gil, Jung-gu, Seoul",4.5,"5,602 reviews",Google Maps (via Wanderlog),Performance venue (non-verbal comedy show),Jung-gu (Myeongdong),https://www.google.com/maps/search/?api=1&query=Myeongdong%20NANTA%20Theatre%20UNESCO%20House%2C%2026%20Myeongdong-gil%2C%20Jung-gu%2C%20Seoul
